y,x
2009990,689052
2007851,689141
2005829,689160
2004377,689557
2006329,689737
2008533,689821
2005339,689829
2010989,690189
2007495,690208
2009723,690311
2006371,690737
2005375,690826
2008923,690912
2010115,691248
2007831,691396
2006677,691499
2005687,691591
2009315,691849
2012510,691860
2011054,692031
2010167,692485
2006719,692499
2005723,692588
2012921,692912
2007423,692934
2011887,692990
2009350,693140
2010748,693384
2008438,693677
2006474,693883
2012201,693908
2009940,693961
2007477,694097
2010999,694249
2008991,694597
2010538,695253
2009568,695414
2007026,695603
2008315,695790
2007499,696367
